Local Timestamp Pacific Time (Interval Ending),SP-15 LMP,Local Date,Hour Number
2023-01-01 00:15:00,114.91,2023-01-01,1
2023-01-01 00:30:00,114.41,2023-01-01,1
2023-01-01 00:45:00,114.38,2023-01-01,1
2023-01-01 01:00:00,114.41,2023-01-01,1
2023-01-01 01:15:00,107.84404,2023-01-01,2
2023-01-01 01:30:00,112.14,2023-01-01,2
2023-01-01 01:45:00,111.2988,2023-01-01,2
2023-01-01 02:00:00,104.2812,2023-01-01,2
2023-01-01 02:15:00,107.6912,2023-01-01,3
2023-01-01 02:30:00,104.3224,2023-01-01,3
2023-01-01 02:45:00,103.63964,2023-01-01,3
2023-01-01 03:00:00,99.1024,2023-01-01,3
2023-01-01 03:15:00,109.1288,2023-01-01,4
2023-01-01 03:30:00,109.1288,2023-01-01,4
2023-01-01 03:45:00,109.1288,2023-01-01,4
2023-01-01 04:00:00,104.07715,2023-01-01,4
2023-01-01 04:15:00,109.2488,2023-01-01,5
2023-01-01 04:30:00,109.1288,2023-01-01,5
2023-01-01 04:45:00,109.8988,2023-01-01,5
2023-01-01 05:00:00,109.1288,2023-01-01,5
2023-01-01 05:15:00,112.14,2023-01-01,6
2023-01-01 05:30:00,112.14,2023-01-01,6
2023-01-01 05:45:00,112.14,2023-01-01,6
2023-01-01 06:00:00,112.14,2023-01-01,6
2023-01-01 06:15:00,107.21135,2023-01-01,7
2023-01-01 06:30:00,110.19609,2023-01-01,7
2023-01-01 06:45:00,113.2356,2023-01-01,7
2023-01-01 07:00:00,114.41,2023-01-01,7
2023-01-01 07:15:00,114.41,2023-01-01,8
2023-01-01 07:30:00,110.67,2023-01-01,8
2023-01-01 07:45:00,102.6,2023-01-01,8
2023-01-01 08:00:00,100.2976,2023-01-01,8
2023-01-01 08:15:00,107.68959,2023-01-01,9
2023-01-01 08:30:00,120.24904,2023-01-01,9
2023-01-01 08:45:00,108.3946,2023-01-01,9
2023-01-01 09:00:00,102.59259,2023-01-01,9
2023-01-01 09:15:00,103.42693,2023-01-01,10
2023-01-01 09:30:00,101.21509,2023-01-01,10
2023-01-01 09:45:00,97.43674,2023-01-01,10
2023-01-01 10:00:00,94.5603,2023-01-01,10
2023-01-01 10:15:00,100.94637,2023-01-01,11
2023-01-01 10:30:00,99.59502,2023-01-01,11
2023-01-01 10:45:00,83.70097,2023-01-01,11
2023-01-01 11:00:00,81.44087,2023-01-01,11
2023-01-01 11:15:00,85.8385,2023-01-01,12
2023-01-01 11:30:00,82.13619,2023-01-01,12
2023-01-01 11:45:00,79.33456,2023-01-01,12
2023-01-01 12:00:00,64.43112,2023-01-01,12
2023-01-01 12:15:00,75.67838,2023-01-01,13
2023-01-01 12:30:00,74.38467,2023-01-01,13
2023-01-01 12:45:00,57.96327,2023-01-01,13
2023-01-01 13:00:00,57.31255,2023-01-01,13
2023-01-01 13:15:00,75.15602,2023-01-01,14
2023-01-01 13:30:00,80.25577,2023-01-01,14
2023-01-01 13:45:00,80.67634,2023-01-01,14
2023-01-01 14:00:00,75.33126,2023-01-01,14
2023-01-01 14:15:00,56.49551,2023-01-01,15
2023-01-01 14:30:00,80.275,2023-01-01,15
2023-01-01 14:45:00,91.3221,2023-01-01,15
2023-01-01 15:00:00,96.85036,2023-01-01,15
2023-01-01 15:15:00,78.07764,2023-01-01,16
2023-01-01 15:30:00,97.23876,2023-01-01,16
2023-01-01 15:45:00,116.12685,2023-01-01,16
2023-01-01 16:00:00,145.0,2023-01-01,16
2023-01-01 16:15:00,107.76186,2023-01-01,17
2023-01-01 16:30:00,122.33397,2023-01-01,17
2023-01-01 16:45:00,171.51517,2023-01-01,17
2023-01-01 17:00:00,198.31393,2023-01-01,17
2023-01-01 17:15:00,163.06387,2023-01-01,18
2023-01-01 17:30:00,174.85892,2023-01-01,18
2023-01-01 17:45:00,177.63643,2023-01-01,18
2023-01-01 18:00:00,188.67888,2023-01-01,18
2023-01-01 18:15:00,193.18546,2023-01-01,19
2023-01-01 18:30:00,177.76578,2023-01-01,19
2023-01-01 18:45:00,181.29185,2023-01-01,19
2023-01-01 19:00:00,144.81361,2023-01-01,19
2023-01-01 19:15:00,145.70036,2023-01-01,20
2023-01-01 19:30:00,145.0175,2023-01-01,20
2023-01-01 19:45:00,141.00502,2023-01-01,20
2023-01-01 20:00:00,135.78758,2023-01-01,20
2023-01-01 20:15:00,137.65578,2023-01-01,21
2023-01-01 20:30:00,140.52315,2023-01-01,21
2023-01-01 20:45:00,136.83107,2023-01-01,21
2023-01-01 21:00:00,126.25064,2023-01-01,21
2023-01-01 21:15:00,137.28418,2023-01-01,22
2023-01-01 21:30:00,132.49597,2023-01-01,22
2023-01-01 21:45:00,125.55073,2023-01-01,22
2023-01-01 22:00:00,122.6311,2023-01-01,22
2023-01-01 22:15:00,148.91394,2023-01-01,23
2023-01-01 22:30:00,145.73642,2023-01-01,23
2023-01-01 22:45:00,155.53981,2023-01-01,23
2023-01-01 23:00:00,137.63701,2023-01-01,23
2023-01-01 23:15:00,124.36782,2023-01-01,24
2023-01-01 23:30:00,123.81397,2023-01-01,24
2023-01-01 23:45:00,130.9894,2023-01-01,24
2023-01-02 00:00:00,110.37563,2023-01-01,24
2023-01-02 00:15:00,127.97,2023-01-02,1
2023-01-02 00:30:00,127.92,2023-01-02,1
2023-01-02 00:45:00,129.42,2023-01-02,1
2023-01-02 01:00:00,128.31007,2023-01-02,1
2023-01-02 01:15:00,134.89922,2023-01-02,2
2023-01-02 01:30:00,129.56622,2023-01-02,2
2023-01-02 01:45:00,130.07382,2023-01-02,2
2023-01-02 02:00:00,130.5073,2023-01-02,2
2023-01-02 02:15:00,127.93,2023-01-02,3
2023-01-02 02:30:00,127.92,2023-01-02,3
2023-01-02 02:45:00,127.97,2023-01-02,3
2023-01-02 03:00:00,131.96481,2023-01-02,3
2023-01-02 03:15:00,143.0,2023-01-02,4
2023-01-02 03:30:00,151.1312,2023-01-02,4
2023-01-02 03:45:00,155.6812,2023-01-02,4
2023-01-02 04:00:00,151.1112,2023-01-02,4
2023-01-02 04:15:00,146.96712,2023-01-02,5
2023-01-02 04:30:00,160.6412,2023-01-02,5
2023-01-02 04:45:00,178.5712,2023-01-02,5
2023-01-02 05:00:00,188.6024,2023-01-02,5
2023-01-02 05:15:00,181.11964,2023-01-02,6
2023-01-02 05:30:00,175.11752,2023-01-02,6
2023-01-02 05:45:00,188.3412,2023-01-02,6
2023-01-02 06:00:00,193.7112,2023-01-02,6
2023-01-02 06:15:00,178.94687,2023-01-02,7
2023-01-02 06:30:00,198.1336,2023-01-02,7
2023-01-02 06:45:00,206.1324,2023-01-02,7
2023-01-02 07:00:00,213.3836,2023-01-02,7
2023-01-02 07:15:00,260.04962,2023-01-02,8
2023-01-02 07:30:00,271.51672,2023-01-02,8
2023-01-02 07:45:00,206.1312,2023-01-02,8
2023-01-02 08:00:00,191.2312,2023-01-02,8
2023-01-02 08:15:00,172.50418,2023-01-02,9
2023-01-02 08:30:00,165.23743,2023-01-02,9
2023-01-02 08:45:00,133.58568,2023-01-02,9
2023-01-02 09:00:00,125.88044,2023-01-02,9
2023-01-02 09:15:00,122.39686,2023-01-02,10
2023-01-02 09:30:00,135.05118,2023-01-02,10
2023-01-02 09:45:00,130.52415,2023-01-02,10
2023-01-02 10:00:00,129.22778,2023-01-02,10
2023-01-02 10:15:00,153.73674,2023-01-02,11
2023-01-02 10:30:00,153.78151,2023-01-02,11
2023-01-02 10:45:00,146.9003,2023-01-02,11
2023-01-02 11:00:00,140.59863,2023-01-02,11
2023-01-02 11:15:00,141.63118,2023-01-02,12
2023-01-02 11:30:00,146.63557,2023-01-02,12
2023-01-02 11:45:00,155.33102,2023-01-02,12
2023-01-02 12:00:00,150.14067,2023-01-02,12
2023-01-02 12:15:00,156.39838,2023-01-02,13
2023-01-02 12:30:00,137.21518,2023-01-02,13
2023-01-02 12:45:00,142.04349,2023-01-02,13
2023-01-02 13:00:00,131.56113,2023-01-02,13
2023-01-02 13:15:00,145.47633,2023-01-02,14
2023-01-02 13:30:00,158.32674,2023-01-02,14
2023-01-02 13:45:00,165.35413,2023-01-02,14
2023-01-02 14:00:00,168.70898,2023-01-02,14
2023-01-02 14:15:00,178.18503,2023-01-02,15
2023-01-02 14:30:00,190.01735,2023-01-02,15
2023-01-02 14:45:00,182.41849,2023-01-02,15
2023-01-02 15:00:00,197.35701,2023-01-02,15
2023-01-02 15:15:00,186.02396,2023-01-02,16
2023-01-02 15:30:00,196.46997,2023-01-02,16
2023-01-02 15:45:00,235.03877,2023-01-02,16
2023-01-02 16:00:00,241.99826,2023-01-02,16
2023-01-02 16:15:00,219.19801,2023-01-02,17
2023-01-02 16:30:00,217.5989,2023-01-02,17
2023-01-02 16:45:00,260.76407,2023-01-02,17
2023-01-02 17:00:00,293.0157,2023-01-02,17
2023-01-02 17:15:00,257.81332,2023-01-02,18
2023-01-02 17:30:00,241.64162,2023-01-02,18
2023-01-02 17:45:00,273.41165,2023-01-02,18
2023-01-02 18:00:00,256.26465,2023-01-02,18
2023-01-02 18:15:00,241.5296,2023-01-02,19
2023-01-02 18:30:00,229.69057,2023-01-02,19
2023-01-02 18:45:00,243.38768,2023-01-02,19
2023-01-02 19:00:00,244.74753,2023-01-02,19
2023-01-02 19:15:00,242.63245,2023-01-02,20
2023-01-02 19:30:00,224.977,2023-01-02,20
2023-01-02 19:45:00,211.67612,2023-01-02,20
2023-01-02 20:00:00,193.90994,2023-01-02,20
2023-01-02 20:15:00,190.06615,2023-01-02,21
2023-01-02 20:30:00,189.8044,2023-01-02,21
2023-01-02 20:45:00,187.78787,2023-01-02,21
2023-01-02 21:00:00,161.90154,2023-01-02,21
2023-01-02 21:15:00,203.19202,2023-01-02,22
2023-01-02 21:30:00,196.8637,2023-01-02,22
2023-01-02 21:45:00,184.6515,2023-01-02,22
2023-01-02 22:00:00,154.71402,2023-01-02,22
2023-01-02 22:15:00,199.9988,2023-01-02,23
2023-01-02 22:30:00,193.9688,2023-01-02,23
2023-01-02 22:45:00,190.0,2023-01-02,23
2023-01-02 23:00:00,150.0,2023-01-02,23
2023-01-02 23:15:00,165.218,2023-01-02,24
2023-01-02 23:30:00,157.42,2023-01-02,24
2023-01-02 23:45:00,150.0,2023-01-02,24
2023-01-03 00:00:00,144.5612,2023-01-02,24
2023-01-03 00:15:00,155.0,2023-01-03,1
2023-01-03 00:30:00,149.9976,2023-01-03,1
2023-01-03 00:45:00,148.16862,2023-01-03,1
2023-01-03 01:00:00,142.4659,2023-01-03,1
2023-01-03 01:15:00,149.998,2023-01-03,2
2023-01-03 01:30:00,144.5604,2023-01-03,2
2023-01-03 01:45:00,146.87,2023-01-03,2
2023-01-03 02:00:00,143.26,2023-01-03,2
2023-01-03 02:15:00,149.9988,2023-01-03,3
2023-01-03 02:30:00,149.9988,2023-01-03,3
2023-01-03 02:45:00,149.29,2023-01-03,3
2023-01-03 03:00:00,143.32,2023-01-03,3
2023-01-03 03:15:00,144.56,2023-01-03,4
2023-01-03 03:30:00,149.9988,2023-01-03,4
2023-01-03 03:45:00,153.41,2023-01-03,4
2023-01-03 04:00:00,151.07523,2023-01-03,4
2023-01-03 04:15:00,139.45592,2023-01-03,5
2023-01-03 04:30:00,144.97543,2023-01-03,5
2023-01-03 04:45:00,157.75443,2023-01-03,5
2023-01-03 05:00:00,165.8812,2023-01-03,5
2023-01-03 05:15:00,150.0,2023-01-03,6
2023-01-03 05:30:00,169.65591,2023-01-03,6
2023-01-03 05:45:00,195.0,2023-01-03,6
2023-01-03 06:00:00,201.4712,2023-01-03,6
2023-01-03 06:15:00,157.75443,2023-01-03,7
2023-01-03 06:30:00,190.0,2023-01-03,7
2023-01-03 06:45:00,225.5112,2023-01-03,7
2023-01-03 07:00:00,242.2088,2023-01-03,7
2023-01-03 07:15:00,207.28003,2023-01-03,8
2023-01-03 07:30:00,194.20778,2023-01-03,8
2023-01-03 07:45:00,179.9964,2023-01-03,8
2023-01-03 08:00:00,150.36171,2023-01-03,8
2023-01-03 08:15:00,190.0,2023-01-03,9
2023-01-03 08:30:00,160.49542,2023-01-03,9
2023-01-03 08:45:00,137.1876,2023-01-03,9
2023-01-03 09:00:00,125.0,2023-01-03,9
2023-01-03 09:15:00,150.59375,2023-01-03,10
2023-01-03 09:30:00,164.00351,2023-01-03,10
2023-01-03 09:45:00,150.0,2023-01-03,10
2023-01-03 10:00:00,140.0,2023-01-03,10
2023-01-03 10:15:00,149.6164,2023-01-03,11
2023-01-03 10:30:00,146.8652,2023-01-03,11
2023-01-03 10:45:00,140.0,2023-01-03,11
2023-01-03 11:00:00,131.70107,2023-01-03,11
2023-01-03 11:15:00,140.0,2023-01-03,12
2023-01-03 11:30:00,144.79,2023-01-03,12
2023-01-03 11:45:00,130.31631,2023-01-03,12
2023-01-03 12:00:00,129.1251,2023-01-03,12
2023-01-03 12:15:00,137.65771,2023-01-03,13
2023-01-03 12:30:00,136.1076,2023-01-03,13
2023-01-03 12:45:00,131.13506,2023-01-03,13
2023-01-03 13:00:00,131.09773,2023-01-03,13
2023-01-03 13:15:00,136.2399,2023-01-03,14
2023-01-03 13:30:00,132.15671,2023-01-03,14
2023-01-03 13:45:00,126.37283,2023-01-03,14
2023-01-03 14:00:00,129.68425,2023-01-03,14
2023-01-03 14:15:00,126.71997,2023-01-03,15
2023-01-03 14:30:00,145.40878,2023-01-03,15
2023-01-03 14:45:00,146.25685,2023-01-03,15
2023-01-03 15:00:00,147.83725,2023-01-03,15
2023-01-03 15:15:00,126.96661,2023-01-03,16
2023-01-03 15:30:00,146.8733,2023-01-03,16
2023-01-03 15:45:00,179.18008,2023-01-03,16
2023-01-03 16:00:00,203.21526,2023-01-03,16
2023-01-03 16:15:00,162.76476,2023-01-03,17
2023-01-03 16:30:00,186.02635,2023-01-03,17
2023-01-03 16:45:00,217.02464,2023-01-03,17
2023-01-03 17:00:00,260.0,2023-01-03,17
2023-01-03 17:15:00,200.67209,2023-01-03,18
2023-01-03 17:30:00,222.07567,2023-01-03,18
2023-01-03 17:45:00,234.11237,2023-01-03,18
2023-01-03 18:00:00,244.97873,2023-01-03,18
2023-01-03 18:15:00,245.76941,2023-01-03,19
2023-01-03 18:30:00,220.47539,2023-01-03,19
2023-01-03 18:45:00,230.86897,2023-01-03,19
